dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-01,1,0,1,0,6,0,2,14.110847,14.908624999999999,0.805833,10.749882,331,654,985
2011-01-02,1,0,1,0,0,0,2,14.902598000000001,14.503299000000002,0.696087,16.652113,131,670,801
2011-01-03,1,0,1,0,1,1,1,8.050924,7.765605,0.437273,16.636703,120,1229,1349
2011-01-04,1,0,1,0,2,1,1,8.200000000000001,8.697002,0.590435,10.739832,108,1454,1562
2011-01-05,1,0,1,0,3,1,1,9.305237,9.40007,0.436957,12.522300000000001,82,1518,1600
2011-01-06,1,0,1,0,4,1,1,8.378268,9.561569,0.518261,6.0008684,88,1518,1606
2011-01-07,1,0,1,0,5,1,2,8.057402,8.562399,0.498696,11.304642,148,1362,1510
2011-01-08,1,0,1,0,6,0,2,6.765000000000001,6.652414,0.535833,17.875868,68,891,959
2011-01-09,1,0,1,0,0,0,1,5.671653,4.763175,0.434167,24.25065,54,768,822
2011-01-10,1,0,1,0,1,1,1,6.184153,6.186408,0.482917,14.958889,41,1280,1321
2011-01-11,1,0,1,0,2,1,2,6.9327309999999995,7.8500239999999994,0.686364,8.182844000000001,43,1220,1263
2011-01-12,1,0,1,0,3,1,1,7.0818069999999995,6.5793930000000005,0.599545,20.410009,25,1137,1162
2011-01-13,1,0,1,0,4,1,1,6.765000000000001,6.186203,0.470417,20.166999999999998,38,1368,1406
2011-01-14,1,0,1,0,5,1,1,6.59567,7.724933,0.537826,8.478716,54,1367,1421
2011-01-15,1,0,1,0,6,0,2,9.566653,10.172592,0.49875,10.583521,222,1026,1248
2011-01-16,1,0,1,0,0,0,1,9.498347,9.602897,0.48375,12.625010999999999,251,953,1204
2011-01-17,1,0,1,1,1,0,2,7.209153,7.247611000000001,0.5375,12.999139,117,883,1000
2011-01-18,1,0,1,0,2,1,2,8.883347,9.525653,0.861667,9.833924999999999,9,674,683
2011-01-19,1,0,1,0,3,1,2,11.979134,12.235302,0.741739,13.957239,78,1572,1650
2011-01-20,1,0,1,0,4,1,2,10.728347,10.45705,0.538333,13.125568,83,1844,1927
2011-01-21,1,0,1,0,5,1,1,7.2775,6.471153,0.457083,23.667214,75,1468,1543
2011-01-22,1,0,1,0,6,0,1,2.4243464,3.2418536000000002,0.4,11.52199,93,888,981
2011-01-23,1,0,1,0,0,0,1,3.9573897000000002,4.0524031,0.436522,16.5222,150,836,986
2011-01-24,1,0,1,0,1,1,1,3.9930433,4.8351299999999995,0.491739,10.60811,86,1330,1416
2011-01-25,1,0,1,0,2,1,2,9.162598000000001,9.615566000000001,0.616957,8.696332,186,1799,1985
2011-01-26,1,0,1,0,3,1,3,8.9175,8.3476,0.8625,19.68795,34,472,506
2011-01-27,1,0,1,0,4,1,1,7.995,9.0077,0.6875,7.627078999999999,15,416,431
2011-01-28,1,0,1,0,5,1,2,8.342597999999999,9.155997,0.793043,8.2611,38,1129,1167
2011-01-29,1,0,1,0,6,0,1,8.057402,8.697166000000001,0.651739,9.739455,123,975,1098
2011-01-30,1,0,1,0,0,0,1,8.877402,10.263202,0.722174,4.956834199999999,140,956,1096
2011-01-31,1,0,1,0,1,1,2,7.414153,7.6362499999999995,0.60375,12.541864,42,1459,1501
2011-02-01,1,0,2,0,2,1,2,7.8791340000000005,9.61573,0.829565,3.565271,47,1313,1360
2011-02-02,1,0,2,0,3,1,2,10.66,10.431097,0.775417,17.708636,72,1454,1526
2011-02-03,1,0,2,0,4,1,1,7.665237,7.292998000000001,0.437826,18.609384,61,1489,1550
2011-02-04,1,0,2,0,5,1,2,8.663464,9.372067000000001,0.585217,8.565213,88,1620,1708
2011-02-05,1,0,2,0,6,0,2,9.566653,9.965378,0.929167,10.792293,100,905,1005
2011-02-06,1,0,2,0,0,0,1,11.719153,11.958511000000001,0.568333,9.5006,354,1269,1623
2011-02-07,1,0,2,0,1,1,1,11.138347,12.449978,0.738333,3.0423561,120,1592,1712
2011-02-08,1,0,2,0,2,1,1,9.054153,8.128086,0.537917,24.25065,64,1466,1530
2011-02-09,1,0,2,0,3,1,2,5.526102999999999,5.915603,0.494783,12.652213,53,1552,1605
2011-02-10,1,0,2,0,4,1,1,5.918268,6.131467999999999,0.437391,14.869645,47,1491,1538
2011-02-11,1,0,2,0,5,1,1,7.752731000000001,8.753869,0.506364,7.272849999999999,149,1597,1746
2011-02-12,1,0,2,0,6,0,1,9.1225,9.551114,0.544167,13.625589,288,1184,1472
2011-02-13,1,0,2,0,0,0,1,12.977402000000001,13.288632999999999,0.457391,17.479160999999998,397,1192,1589
2011-02-14,1,0,2,0,1,1,1,17.015,16.332349999999998,0.375833,27.999836,208,1705,1913
2011-02-15,1,0,2,0,2,1,1,10.909567000000001,10.425234,0.314348,19.522058,140,1675,1815
2011-02-16,1,0,2,0,3,1,1,13.048701000000001,12.9642,0.423478,16.869996999999998,218,1897,2115
2011-02-17,1,0,2,0,4,1,1,17.869153,17.574977999999998,0.505,15.416968,259,2216,2475
2011-02-18,1,0,2,0,5,1,1,21.388347,20.991303,0.516667,17.749975000000003,579,2348,2927
2011-02-19,1,0,2,0,6,0,1,16.365847,16.047563999999998,0.187917,34.000021,532,1103,1635
2011-02-20,1,0,2,0,0,0,1,11.693897,11.37053,0.407826,14.956745,639,1173,1812
2011-02-21,1,0,2,1,1,0,2,12.436653000000002,11.647075000000001,0.605,20.625682,195,912,1107
2011-02-22,1,0,2,0,2,1,1,7.471102,7.627353,0.577778,13.110761,74,1376,1450
2011-02-23,1,0,2,0,3,1,1,9.091299,10.074397,0.423043,6.3055710000000005,139,1778,1917
2011-02-24,1,0,2,0,4,1,2,12.121732000000002,11.856831,0.697391,16.783231999999998,100,1707,1807
2011-02-25,1,0,2,0,5,1,2,14.938268,14.368901000000001,0.712174,23.218113,120,1341,1461
2011-02-26,1,0,2,0,6,0,1,11.5825,11.569872,0.537917,12.500257,424,1545,1969
2011-02-27,1,0,2,0,0,0,1,14.082598,14.395469,0.68,8.391615999999999,694,1708,2402
2011-02-28,1,0,2,0,1,1,2,16.698193,16.404837999999998,0.876364,19.408962,81,1365,1446
2011-03-01,1,0,3,0,2,1,1,10.933347,10.819038999999998,0.535,14.500475,137,1714,1851
2011-03-02,1,0,3,0,3,1,1,13.735000000000001,13.122911,0.449583,20.624811,231,1903,2134
2011-03-03,1,0,3,0,4,1,1,8.131653,8.205453,0.318333,15.125518000000001,123,1562,1685
2011-03-04,1,0,3,0,5,1,2,10.728347,10.482839,0.610417,13.624182,214,1730,1944
2011-03-05,1,0,3,0,6,0,2,15.750846999999998,15.529938999999999,0.789167,16.875357,640,1437,2077
2011-03-06,1,0,3,0,0,0,2,15.437402,15.016332,0.948261,23.000229,114,491,605
